mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25,mfcc_26,mfcc_27,mfcc_28,mfcc_29,mfcc_30,mfcc_31,mfcc_32,mfcc_33,mfcc_34,mfcc_35,mfcc_36,mfcc_37,mfcc_38,mfcc_39,mfcc_40,emotion,speaker,file
-200.83511,187.59068,-46.909164,13.98585,-8.581333,-14.00349,-34.798542,-14.126348,-18.310392,-14.740278,-7.069857,-16.885096,-17.021473,-15.051767,0.81531924,-12.605898,-11.663738,-7.699064,-8.545579,-11.291151,-11.724694,-5.403174,-8.297847,-6.540333,-11.761229,-6.288508,-7.631553,-8.6992035,-1.5127856,-4.5202737,-6.078875,-5.964791,-5.9662714,-7.4888287,-3.829648,-3.5927434,-3.0588276,-4.054615,-3.2583892,-1.7703142,angry,Daivik,Daivik_angry_001.wav
-200.17223,192.5597,-48.28623,19.372532,-14.091955,-14.096694,-27.145311,-20.151655,-16.530745,-16.248598,-7.81147,-19.300236,-16.48907,-14.027745,-1.3806139,-10.298577,-13.324586,-6.7650332,-10.487938,-10.353713,-9.686356,-4.2899404,-6.3004446,-9.428567,-12.387811,-8.258777,-6.4067845,-6.1854196,-1.845097,-5.8447123,-3.8841147,-3.045094,-5.7022023,-4.7703395,-6.0546823,-5.387882,-3.8341944,-5.016861,-3.3168972,-0.1620429,angry,Daivik,Daivik_angry_002.wav
-204.73213,179.93623,-45.036987,11.423793,-10.859771,-13.230566,-30.254093,-13.797566,-15.717711,-15.988208,-9.0060215,-18.83645,-15.513984,-13.060326,0.568612,-9.85917,-13.899284,-6.2969656,-5.67097,-11.006326,-11.381787,-6.092392,-7.481639,-9.086493,-13.249936,-6.1332264,-5.918818,-5.990807,-3.2637427,-4.7814207,-1.7483414,-4.529767,-7.0137753,-6.7835402,-5.028381,-4.824876,-4.17446,-5.7478743,-5.017598,-0.9384532,angry,Daivik,Daivik_angry_003.wav
-203.88647,182.5665,-53.809887,21.795868,-11.89188,-12.837615,-36.41308,-14.53028,-17.8354,-14.692353,-8.900886,-22.63845,-14.588212,-14.1092205,-0.27039033,-10.598349,-13.367338,-5.369153,-5.975452,-9.365351,-10.413511,-3.36161,-5.393771,-8.2207,-11.844244,-8.816549,-8.521978,-7.4049945,-2.138699,-5.1263647,-4.9634786,-5.8243685,-7.212433,-3.9936316,-2.1919074,-3.5948045,-1.0251362,-3.9487748,-4.454107,-1.4672048,angry,Daivik,Daivik_angry_004.wav
-197.7489,169.90811,-37.573093,23.42901,8.521782,-20.30423,-34.210453,-7.5415583,-19.199518,-23.837053,-12.629553,-21.47845,-16.33767,-12.191376,-4.99847,-10.10167,-11.391807,-3.8538,-3.2156732,-11.028864,-12.802576,-7.2418475,-6.2772484,-9.704755,-13.005517,-7.360486,-8.373577,-5.4196625,-1.8690982,-4.527572,-1.4971673,-5.132363,-7.8378243,-6.457831,-5.151744,-4.3757596,-4.660147,-6.536913,-5.3782177,-1.4842367,angry,Daivik,Daivik_angry_005.wav
-162.97038,183.02681,-45.533096,26.25885,-15.537083,-9.693016,-37.20843,-15.07035,-16.82256,-16.101942,-10.897059,-18.845009,-12.549858,-17.762268,0.8299769,-13.897352,-12.5137005,-5.500055,-9.985175,-7.7971735,-12.177687,-7.0034766,-8.039354,-8.283784,-9.91647,-7.7700725,-7.407727,-6.0556602,-1.7628676,-3.8305335,-2.8464806,-4.778997,-7.280785,-7.2414412,-5.0971746,-4.7997475,-4.7446356,-5.4189067,-3.5793557,-1.0688424,calm,Daivik,Daivik_calm_001.wav
-175.18068,178.61122,-36.190228,24.205887,-11.336504,-11.889509,-33.2804,-18.620268,-16.15381,-12.172366,-10.372144,-23.689907,-14.939327,-17.266518,1.4305348,-9.891613,-11.760657,-3.4137447,-11.411667,-10.332999,-10.337653,-3.6965683,-6.6152067,-9.502221,-12.32423,-9.96307,-8.008825,-7.2584233,-2.366237,-5.490412,-4.5995855,-5.7077436,-7.609979,-4.5769534,-5.1671524,-6.259688,-3.889793,-5.728785,-3.8157928,-0.44453025,calm,Daivik,Daivik_calm_002.wav
-207.66837,174.88794,-40.95977,16.07,-10.075255,-15.421695,-29.922398,-17.667053,-15.769062,-10.126431,-11.446933,-23.20881,-14.438541,-15.569625,-0.8847851,-12.107412,-10.9564085,-3.402838,-9.477813,-7.814984,-10.431306,-3.4901137,-6.6581855,-10.712721,-11.5705805,-8.541524,-6.411591,-6.8592577,-2.4540675,-4.541353,-5.0136633,-5.7631006,-6.8786893,-5.6048994,-5.2123923,-5.118452,-2.5725417,-4.1616473,-3.7552657,1.4711622,calm,Daivik,Daivik_calm_003.wav
-180.55966,178.09633,-42.774662,22.00217,-12.800364,-13.224912,-30.514612,-20.29594,-17.428867,-8.609817,-10.208645,-23.974636,-14.231295,-14.269068,-0.5857907,-13.082189,-11.022723,-3.199151,-9.000053,-8.044395,-8.877359,-4.6726685,-7.1736555,-7.1046023,-10.052862,-8.64466,-7.771456,-4.9565387,-0.54724663,-3.5395055,-3.351579,-4.6042385,-4.660396,-4.680661,-3.737451,-4.2616134,-2.0734854,-3.094496,-3.7812002,-1.8174303,calm,Daivik,Daivik_calm_004.wav
-180.42694,179.29475,-48.124207,21.228977,-16.970274,-10.690054,-29.438087,-18.105179,-20.427273,-10.62654,-11.073308,-21.837523,-13.106484,-12.862865,0.34667438,-16.394669,-10.553118,-3.4072328,-9.289234,-7.04634,-8.88069,-4.5319386,-7.930716,-6.055938,-8.745932,-8.08085,-8.369268,-5.28571,-1.5818547,-5.1531034,-2.9995866,-6.409605,-5.136597,-5.1604767,-4.120918,-3.3793383,-1.383785,-4.9198,-5.499538,-1.7419379,calm,Daivik,Daivik_calm_005.wav
