mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25,mfcc_26,mfcc_27,mfcc_28,mfcc_29,mfcc_30,mfcc_31,mfcc_32,mfcc_33,mfcc_34,mfcc_35,mfcc_36,mfcc_37,mfcc_38,mfcc_39,mfcc_40,emotion,actor_id,file
-475.36145,128.66156,-10.98808,26.386919,14.508468,-5.558029,-9.686414,-12.318477,-29.368032,-9.753016,-1.6119391,-10.491249,2.7419355,-11.012528,-1.8277745,-0.37992036,-12.851696,-5.3580976,-4.034119,-2.9568799,-16.009373,-1.9322249,-5.515381,-11.770221,-4.835795,-2.362702,-12.41961,0.1838082,-5.84053,0.10476642,-5.5249004,-5.7677073,-6.251715,-4.5945935,-8.091414,-4.288662,-2.7419782,-4.7490354,-8.5451975,-3.4093814,neutral,01,03-01-01-01-01-01-01.wav
-475.27838,119.9053,-6.976894,29.602516,14.480287,-6.964827,-8.557398,-14.462408,-29.714369,-7.122497,-2.5779552,-8.868516,0.59402674,-11.955792,-2.106044,-0.123343,-13.451134,-3.6057787,-6.637701,-0.3229096,-16.029476,-2.800074,-5.5183525,-13.474564,-3.7067542,-4.228844,-12.913553,2.0740077,-6.0800977,-1.6203488,-4.2029862,-6.7544184,-4.4343514,-6.245308,-7.868758,-3.0809228,-3.7037978,-7.9521747,-7.652736,-4.961828,neutral,01,03-01-01-01-01-02-01.wav
-457.97974,122.867676,-6.0311704,29.281155,5.2978096,-2.8757017,-8.163219,-15.194167,-26.826042,-11.60111,-1.901313,-9.026659,2.8735037,-9.622704,-5.7895665,1.9001081,-13.22061,-8.353914,0.3187753,-1.0615116,-15.0770445,-2.7001295,-4.686576,-8.813359,-4.4889493,-0.9034978,-11.092763,-1.654231,-6.2305107,-1.617832,-4.4731956,-4.82375,-5.455871,-4.7281866,-7.05485,-4.963065,-2.9672925,-6.6113515,-8.066132,-4.9786186,neutral,01,03-01-01-01-02-01-01.wav
-460.94684,114.85395,1.208189,29.322582,9.210845,0.7177314,-8.37624,-18.38697,-24.951826,-9.48429,-1.0983588,-7.567579,-1.1828983,-9.837301,-5.4941435,3.1702724,-13.193339,-7.4735074,-1.0410094,-1.705995,-12.767874,-4.2792277,-3.6555655,-8.424645,-6.226421,-2.8010495,-12.255952,-1.7019482,-6.8404365,0.09067942,-7.0369515,-5.560081,-6.3012643,-5.788417,-7.157035,-3.3547618,-2.3276947,-5.755867,-7.794886,-7.7337947,neutral,01,03-01-01-01-02-02-01.wav
-529.6161,121.39683,1.1881688,27.899853,12.145414,0.24472895,-10.153529,-9.348992,-21.907263,-12.003468,-1.0054479,-8.987131,1.5231687,-8.830317,-2.3203118,2.7946472,-15.646837,-2.463148,-2.9164681,-4.457741,-12.628368,-3.0912359,-6.176962,-9.821036,-4.716344,-3.1428196,-11.338264,1.5834737,-7.824615,0.33687648,-5.356757,-2.7114415,-3.964637,-5.4206142,-4.684246,-1.3840355,-4.3188205,-3.4186788,-7.604339,-5.8434834,calm,01,03-01-02-01-01-01-01.wav
-535.63086,129.0828,3.5120592,20.688974,15.946901,0.60934466,-9.95,-10.515665,-17.304958,-10.51249,2.2700653,-5.910411,-0.045569446,-7.556556,-3.8874881,2.108186,-12.204888,-6.034335,-2.2771225,-3.3670442,-10.5945,-4.276646,-5.512346,-9.820169,-5.442446,-2.9900663,-9.725399,0.02659098,-6.707151,0.5470849,-6.7441335,-4.0961432,-6.763202,-6.7400017,-7.4100943,-2.2703803,-4.1066313,-5.812602,-7.9626026,-7.78432,calm,01,03-01-02-01-01-02-01.wav
-494.4482,123.45144,-4.6444044,24.362318,7.1931047,0.9882997,-4.830829,-11.04937,-19.69796,-11.812277,1.3836308,-5.1048965,2.730511,-11.472553,1.6207036,-0.9420395,-14.354571,-5.8612785,-0.7732255,-5.028571,-12.788486,-3.0050993,-4.856237,-7.4427843,-6.095983,-2.3630419,-11.749549,1.0839611,-8.870855,-1.0083619,-6.264538,-4.0478916,-5.4117193,-6.862475,-8.986386,-3.6155248,-4.855603,-4.9380026,-9.324937,-5.8093057,calm,01,03-01-02-01-02-01-01.wav
-485.5119,130.99965,-4.188628,23.797876,10.764026,-0.13770889,-5.5133853,-15.188181,-19.241888,-12.195707,-0.42682585,-5.421401,2.8551207,-10.158248,-0.4852905,1.6208972,-14.371333,-5.7034082,-2.102583,-3.8377478,-15.080814,-3.828775,-5.7232237,-6.397177,-6.6404414,-1.8123229,-10.400722,0.16533165,-8.51943,-0.5556755,-7.6812997,-3.6836767,-4.696057,-5.3300285,-7.6763363,-4.3845263,-3.2666147,-6.0655465,-7.721118,-7.299978,calm,01,03-01-02-01-02-02-01.wav
-544.9917,126.9572,5.8185973,24.317837,13.501465,0.87749434,-9.612316,-7.130634,-14.086161,-11.212532,1.4854842,-1.63777,-0.91933393,-7.8992767,-0.59902334,0.10341553,-5.01345,-5.9049516,-1.2191554,1.4676737,-14.6418295,0.6160834,-5.091105,-8.730554,-3.8135123,-1.9328027,-6.935102,1.8598465,-6.9949975,-0.3545787,-6.923768,-5.563852,-7.3339586,-4.1099544,-10.697639,0.55328065,-6.0285664,-5.2360463,-9.5965395,-6.5880394,calm,01,03-01-02-02-01-01-01.wav
-540.5627,116.61178,1.7645918,20.89304,9.810775,0.7030166,-8.198424,-10.542771,-13.931955,-10.450419,3.017276,-3.8360095,-1.3700356,-9.255971,-0.8761825,-1.4564556,-8.605067,-4.837315,-1.7795451,-1.3866667,-12.867732,0.84745175,-4.3174763,-8.085932,-4.9699965,-3.3134043,-9.407411,-0.38034022,-5.8640804,-1.6670632,-7.3224754,-4.4150395,-7.3904643,-5.193861,-9.582486,-1.9055035,-4.6638193,-4.505592,-7.9696193,-6.321804,calm,01,03-01-02-02-01-02-01.wav
