mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25,mfcc_26,mfcc_27,mfcc_28,mfcc_29,mfcc_30,mfcc_31,mfcc_32,mfcc_33,mfcc_34,mfcc_35,mfcc_36,mfcc_37,mfcc_38,mfcc_39,mfcc_40,emotion,speaker,source,file,file_path,file_exists
-475.36145,128.66156,-10.98808,26.386919,14.508468,-5.558029,-9.686415,-12.318477,-29.368032,-9.753016,-1.6119393,-10.491249,2.7419348,-11.0125265,-1.8277746,-0.37992013,-12.851696,-5.358097,-4.034119,-2.95688,-16.009373,-1.9322245,-5.515381,-11.770221,-4.835795,-2.3627017,-12.41961,0.18380825,-5.8405285,0.10476631,-5.5249004,-5.7677083,-6.2517157,-4.594593,-8.091414,-4.2886624,-2.741978,-4.7490354,-8.5451975,-3.4093814,neutral,1,ravdess,03-01-01-01-01-01-01.wav,data\Ravdess\Audio_Speech_Actors_01-24\Actor_01\03-01-01-01-01-01-01.wav,True
-475.27838,119.90531,-6.9768934,29.602516,14.480287,-6.964827,-8.557397,-14.462408,-29.714367,-7.122497,-2.5779552,-8.868519,0.5940273,-11.955792,-2.106044,-0.12334312,-13.451136,-3.6057787,-6.637701,-0.32290965,-16.029476,-2.800074,-5.5183535,-13.474564,-3.7067537,-4.228844,-12.913555,2.0740075,-6.080098,-1.6203486,-4.2029862,-6.7544184,-4.434351,-6.2453084,-7.868758,-3.0809228,-3.7037985,-7.9521747,-7.652736,-4.961828,neutral,1,ravdess,03-01-01-01-01-02-01.wav,data\Ravdess\Audio_Speech_Actors_01-24\Actor_01\03-01-01-01-01-02-01.wav,True
-457.97974,122.867676,-6.0311704,29.281153,5.2978096,-2.875702,-8.163219,-15.194169,-26.826042,-11.60111,-1.901313,-9.026659,2.8735034,-9.622704,-5.7895665,1.9001077,-13.220611,-8.353914,0.31877556,-1.0615119,-15.0770445,-2.7001295,-4.6865764,-8.813358,-4.488949,-0.90349776,-11.092763,-1.654231,-6.230511,-1.6178316,-4.4731956,-4.82375,-5.455871,-4.728186,-7.05485,-4.9630647,-2.9672925,-6.6113515,-8.066132,-4.9786186,neutral,1,ravdess,03-01-01-01-02-01-01.wav,data\Ravdess\Audio_Speech_Actors_01-24\Actor_01\03-01-01-01-02-01-01.wav,True
-460.94684,114.85395,1.2081891,29.322582,9.210846,0.71773094,-8.37624,-18.38697,-24.951826,-9.48429,-1.098359,-7.567579,-1.182898,-9.837301,-5.494143,3.1702724,-13.19334,-7.4735074,-1.0410094,-1.7059947,-12.767874,-4.2792277,-3.6555657,-8.424645,-6.226421,-2.8010497,-12.255953,-1.7019483,-6.8404365,0.09067961,-7.0369515,-5.560081,-6.301264,-5.7884164,-7.1570354,-3.354762,-2.3276944,-5.755866,-7.794886,-7.7337956,neutral,1,ravdess,03-01-01-01-02-02-01.wav,data\Ravdess\Audio_Speech_Actors_01-24\Actor_01\03-01-01-01-02-02-01.wav,True
-529.6161,121.39683,1.1881691,27.899855,12.145414,0.24472919,-10.153529,-9.348992,-21.90726,-12.003468,-1.0054476,-8.987132,1.5231688,-8.830317,-2.3203118,2.7946475,-15.646838,-2.463148,-2.916468,-4.457741,-12.628369,-3.0912356,-6.1769624,-9.821037,-4.7163444,-3.1428196,-11.338265,1.5834734,-7.824615,0.3368762,-5.356756,-2.7114415,-3.9646366,-5.4206142,-4.6842456,-1.3840352,-4.318821,-3.4186785,-7.604339,-5.8434834,calm,1,ravdess,03-01-02-01-01-01-01.wav,data\Ravdess\Audio_Speech_Actors_01-24\Actor_01\03-01-02-01-01-01-01.wav,True
-535.63086,129.0828,3.5120585,20.688974,15.946901,0.6093443,-9.95,-10.515666,-17.304958,-10.512491,2.2700653,-5.910411,-0.045569554,-7.556556,-3.8874886,2.108186,-12.204888,-6.0343347,-2.2771225,-3.3670444,-10.5945,-4.2766457,-5.512346,-9.820169,-5.4424458,-2.9900663,-9.725399,0.02659094,-6.707151,0.54708475,-6.7441335,-4.0961432,-6.763202,-6.7400017,-7.4100943,-2.27038,-4.106631,-5.812602,-7.9626026,-7.7843213,calm,1,ravdess,03-01-02-01-01-02-01.wav,data\Ravdess\Audio_Speech_Actors_01-24\Actor_01\03-01-02-01-01-02-01.wav,True
-494.4482,123.45144,-4.6444044,24.362318,7.193104,0.98829985,-4.830829,-11.049369,-19.69796,-11.812278,1.3836305,-5.104896,2.7305112,-11.472553,1.6207036,-0.9420397,-14.354571,-5.861279,-0.7732251,-5.0285707,-12.788486,-3.0050993,-4.8562374,-7.4427843,-6.0959826,-2.3630424,-11.749548,1.0839614,-8.870855,-1.008362,-6.264537,-4.0478916,-5.4117193,-6.862475,-8.986387,-3.615525,-4.855603,-4.9380035,-9.324937,-5.8093057,calm,1,ravdess,03-01-02-01-02-01-01.wav,data\Ravdess\Audio_Speech_Actors_01-24\Actor_01\03-01-02-01-02-01-01.wav,True
-485.5119,130.99965,-4.188628,23.797876,10.764025,-0.13770889,-5.5133853,-15.188181,-19.241888,-12.195706,-0.42682585,-5.421401,2.8551207,-10.158249,-0.48529056,1.6208977,-14.371333,-5.7034087,-2.1025832,-3.8377478,-15.080816,-3.8287754,-5.7232237,-6.3971767,-6.640441,-1.812323,-10.400722,0.16533165,-8.51943,-0.55567575,-7.6812997,-3.6836765,-4.696058,-5.3300285,-7.676336,-4.3845263,-3.2666142,-6.0655465,-7.721119,-7.2999783,calm,1,ravdess,03-01-02-01-02-02-01.wav,data\Ravdess\Audio_Speech_Actors_01-24\Actor_01\03-01-02-01-02-02-01.wav,True
-544.9917,126.9572,5.818597,24.317837,13.501465,0.8774942,-9.612316,-7.130634,-14.086163,-11.212533,1.4854846,-1.6377702,-0.9193341,-7.8992767,-0.59902364,0.10341538,-5.013451,-5.9049516,-1.2191554,1.4676737,-14.641833,0.6160836,-5.091106,-8.730554,-3.8135118,-1.9328027,-6.935102,1.8598468,-6.9949975,-0.35457867,-6.923768,-5.5638514,-7.3339586,-4.1099544,-10.6976385,0.55328065,-6.028566,-5.236047,-9.5965395,-6.5880394,calm,1,ravdess,03-01-02-02-01-01-01.wav,data\Ravdess\Audio_Speech_Actors_01-24\Actor_01\03-01-02-02-01-01-01.wav,True
-540.5627,116.61178,1.7645919,20.89304,9.810775,0.7030167,-8.198423,-10.54277,-13.931953,-10.450419,3.0172758,-3.8360095,-1.370036,-9.255972,-0.87618273,-1.4564556,-8.605067,-4.837315,-1.7795451,-1.3866665,-12.867732,0.84745175,-4.317476,-8.085932,-4.9699965,-3.3134043,-9.407411,-0.38034013,-5.8640804,-1.667063,-7.3224754,-4.4150395,-7.3904643,-5.1938605,-9.582486,-1.9055035,-4.6638193,-4.5055923,-7.9696193,-6.3218045,calm,1,ravdess,03-01-02-02-01-02-01.wav,data\Ravdess\Audio_Speech_Actors_01-24\Actor_01\03-01-02-02-01-02-01.wav,True
